Disciplina;;Codigo;;Natureza;;Tempo;;Prerequisito;;Corequisito;;Presencial;;HorasSemestrais;;PD;;LB;;CP;;ES;;OR;;Semanal;;Ementa;;BibliografiaBasica;;BibliografiaCompementar
Introdução à Teoria Eletromagnética;;TE225;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Eletrostática: Carga elétrica; força e campo eletrostático; potencial e energia eletrostáticos.Eletrodinâmica: condução da corrente elétrica e resistência. Campo elétrico. Lei de Gauss.Potencial Elétrico. Capacitância. Corrente elétrica e resistência. Campo magnético. Potencial eenergia magnetostáticos. Lei de Ampère. Lei da indução de Faraday. Campos variáveis notempo. Materiais magnéticos e indutância. Aplicações em Engenharia Elétrica.;;Halliday, D.; Resnick, R. e Walker, J.; Fundamentos de Física, Vol 3, 8a. ed. Rio de Janeiro,LTC, 2010.,,Tipler, P.; Física, Vol 3 4a. ed. Rio de Janeiro: LTC, 2008.,,Keller, F. J., Gettys, W. E. e Skove, M. J.; Física, Vol 3. São Paulo: Makron Books, 2009.,,;;Nussenzveig, H. M.; Curso de Física Básica, Vol 3. São Paulo: Edgard Blücher, 2007.,,Serway R., Raymond A.; Física para Cientistas e Engenheiros, Vol 3. Rio de Janeiro: LTC,2006.,,Alonso, Marcelo  Finn, Edward J. Física: Um curso universitário. Vol. 2. São Paulo: EdgardBlücher, 2005.
Eletromagnetismo Aplicado à Engenharia Elétrica;;TE226;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Ondas eletromagnéticas e radiação eletromagnética. Equações de Maxwell. Guias de onda.Dipolo eletromagnético. Potenciais eletromagnéticos. Reflexão e refração em interfaces planas.Polarização. Difração. Interferência. Antenas. Radiopropagação. Aplicações em EngenhariaElétrica.;;Hayt, W. H. e Buck, J. A. Eletromagnetismo. 6. ed. São Paulo, LT, 2005.,,Kraus, J. D. e Carver, K. R. Eletromagnetismo. Rio de Janeiro, Editora Guanabara Dois, 1990.,,Sadiku, M. N. O. Elementos de Eletromagnetismo. 3. ed. Porto Alegre, Bookman, 2004.;;Kraus, J. D. e Fleisch, D. A. Eletromagnetics with Applications. New York, McGraw-Hill, 1999.,,Popovic, Z. D. e Popovic, B. D. Introductory Electromagnetics. New Jersey, Prentice Hall, 1999.
Análise, Modelagem e Simulação de Sistemas Dinâmicos I;;TE227;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução à análise de sistemas dinâmicos: conceituações, modelos. Modelagem e Análisede sinais contínuos no domínio do tempo e da freqüência. Modelagem e análise de sistemaslineares e invariáveis no tempo. Elementos de sistemas dinâmicos a dois e quatro terminais.Representação por grafo de sistema e por grafo de ligações. Analogias em sistemas físicos.Simulação computacional de sistemas dinâmicos. Formulação de equações de sistemas:métodos de redes, método da energia, método de grafos de ligações. Sistemas a parâmetrosdistribuídos. Modelagem experimental: introdução à identificação de sistemas. Conceitosbásicos de sistemas de controle para sistemas dinâmicos.;;<nada>;;<nada>
Eletrônica Aplicada I;;TE228;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Filtros. Osciladores. Amplificadores transistorizados. Conceitos e aplicações lineares e não lineares comAmplificadores Operacionais. Resposta em freqüência de amplificadores. Circuitos quasi-lineares.Circuitos não-lineares. Dispositivos de aplicação específica.;;CRUZ, Eduardo César Alves; CHOUERI JR., Salomão. Eletrônica Aplicada. Editora: Érica. 2ª Ed. 304pp.,,BOYLESTAD, Robert L.; NASHELSKY Louis. Dispositivos eletrônicos e teoria de circuitos. EditoraPearson Education do Brasil. 8ª Ed. 2004.,,MILLMAN, Jacob; HALKIAS, Christos C. Eletrônica. Dispositivos e Circuitos. Editora McGraw-Hill. 2ªEd. 1981.;;MALVINO, Albert Paul. Eletrônica. Vol. 2. Editora Makron Books. 4ª Ed. São Paulo. 1997.,,URBANETZ JR, Jair; MAIA, José da Silva. Eletrônica Aplicada. Editora Base Editorial,176 pp.
Introdução aos Processos Estocásticos em Engenharia Elétrica;;TE229;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Conceito probabilidade. Teorema de Bayes, da probabilidade total e da probabilidadecondicional. Independência de eventos. Variáveis aleatórias discretas e contínuas. Funçãodistribuição de probabilidade, Função de probabilidade no ponto e Função densidade deprobabilidade. Distribuições especiais. Valor esperado, variância e momentos. Desigualdadesde Markov e Tchebyshev. Variáveis aleatórias conjuntas, função distribuição conjunta emarginal; independência estatística; covariância e coeficiente de correlação. Processosestocásticos elementares.;;Albuquerque, J. P. A.J. M. P. FortesW. A. Finamore. Probabilidade, VariáveisAleatórias e Processos Estocásticos. Editora PUC-Rio, 2008.,,Meyer, P. L.. Probabilidade: Aplicações a Estatística, Livros Técnicos e CientíficosEditora, 2a edição, 1983.,,Hsu, H. P. Schaums Outline of TheoryProblems of Probability, Random Variablesand Random Processes, Editora Mcgraw-Hill, 2009. 2a edição.,,;;Ross, S. Probabilidade, um curso moderno. Ed. Bookman. 8ª edição.,,Papoulis, A. Probability, Randon VariablesStochastic Processes. 3rd edition. 1991,,
Microprocessadores e Microcontroladores;;TE230;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Histórico dos microprocessadores e microcontroladores. Estruturas de microcomputadores:microprocessador, memória, entrada e saída. Arquitetura de microprocessadores: registradores,indexadores, pilhas, endereçamento. Interfaces paralelas e seriais. Conversores A/D e D/A. Memórias.Instruções de transferência de dados, operações lógicas e aritméticas, desvios e sub-rotinas. Interrupções.Programação em linguagem assembly. Projeto de sistemas microprocessados. Contador programável.Controlador de interrupções. Controlador de DMA. Aplicações típicas de microcontroladores.;;CRISP, J. Introduction to MicroprocessorsMicrocontrollers, Ed. Newnes Elsevier, 2ndEd.,2004. ISBN 0750659890,,WOLF, W. Computers as Components: Principles of Embedded Computing System Design,Morgan Kaufmann, 2005; ISBN 0123694590,,BARRETT, S. Microcontrollers Fundamentals for EngineersScientists, Morgan  ClaypoolPublishers, 2006, ISBN-10: 1598290584,,;;CATSOULIS, L. Designing Embedded Hardware, OReilly Media; Second Edition, 2005, ISBN-10: 0596007558,,PACK, D., Microcontroller TheoryApplications: HC12S12, Prentice Hall; 2nd edition,2007, ISBN-10: 9780136152057,,
Métodos Numéricos em Engenharia Elétrica;;TE231;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Sistemas numéricos e erros. Zeros de funções a uma variável. Solução de sistemas deequações lineares e não lineares. Interpolação e aproximação. Integração numérica.Diferenciação numérica. Introdução aos Métodos de Monte Carlo. Números aleatórios.Autovalores e autovetores. Tratamento numérico de equações diferenciais ordinárias.Aplicações em Engenharia Elétrica.;;<nada>;;<nada>
CAD para Eletrônica;;TE232;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;00;;30;;00;;00;;00;;02 h;;Aplicativo computacional para desenho técnico. Desenho de diagramas elétricos multifilares eunifilares. Desenho de circuitos eletrônicos. Desenho de instalações elétricas e de rede lógicaem integração com desenhos de construção civil.;;<nada>;;<nada>
Eletrônica de Potência;;TE233;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Diodos de potência. Tiristores. Transistores de potência. Retificadores. Retificadorescontrolados. Controladores de tensão AC. Retalhadores DC. Conversores. Inversores.Controle de Motores DC. Controle de Motores AC. Experimentos com controladores develocidade de motores.;;<nada>;;<nada>
Eletrônica Aplicada II;;TE234;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;00;;30;;00;;00;;00;;02 h;;Análise dos amplificadores para pequenos sinais. Osciladores. Conversores. Detectores. Multiplicadoresde freqüência. Amplificadores sintonizados de potência. Moduladores FM e AM. Demoduladores FM e AM.;;Gomes, A. T. Telecomunicações : transmissão, recepção: AM-FM, sistemas pulsados /4. ed., 1988.,,P. Clerc et P. Xavier. Principes fondamentaux des télécommunications.Ellipses,Paris,1998.,,Libois, L. J. Faisceaux hertziens et systèmes de modulation. Paris : Chiron, 1958.,,;;E. Fernandez et M. Matthieu. Les faiseaux hertziens analogiques et numériques.Dunod,Paris,1991.,,D. Ventre. Communications analogiques.Ellipses,Paris,1991.,,
Eletricidade Aplicada I;;TE235;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Circuitos magnéticos. Transformadores. Princípios de conversão eletromecânica de energia.Introdução às máquinas elétricas rotativas. Motores de corrente contínua. Motores de correntealternada. Motores de passo.;;<nada>;;<nada>
Laboratório de Eletrônica IV;;TE236;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;00;;30;;00;;00;;00;;02 h;;Experiências e demonstrações em laboratório de eletrônica, referentes aos conteúdos programáticos dasdisciplinas ?Eletrônica Aplicada II?, ?Eletrônica de Potência? e ?Sensores e Instrumentação Eletrônica?.;;Gomes, A. T. Telecomunicações : transmissão, recepção: AM-FM, sistemas pulsados /4. ed., 1988.,,;;<nada>
Sensores e Instrumentação Eletrônica;;TE237;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Noções gerais de processos industriais e instrumentação. Transdutores. Medição de pressão,temperatura, vazão e de nível. Medição de força e deslocamento. Medição de velocidade,rotação e aceleração. Condicionamento de sinais para sistemas digitais. Atuadores eletropneumáticose eletro-hidráulicos. Interfaces para transdutores. Circuitos de aplicação em baixapotência e alta impedância. Circuitos aplicação em baixas potências, com alimentaçãounipolar. Circuitos para aplicação em amplificadores de áudio. Filtros passivos e ativos.Circuitos para excitação de conversores analógicos-digitais.;;<nada>;;<nada>
Análise, Modelagem e Simulação de Sistemas Dinâmicos II;;TE238;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Modelagem de sistemas dinâmicos no domínio do tempo; realização de função de transferência; solução das equações de estado; análise da resposta transitória e de regime permanente; propriedades de sistemas dinâmicos lineares; sistemas dinâmicos baseados em equações diferenciais parciais; complexidades na modelagem, análise de simulação de sistemas físicos reais.;;Norman S. Nise. Engenharia de sistemas de controle. 5a Ed., LTC;,,Katsuhiko Ogata. Engenharia de controle moderno. 5a Ed., Prentice Hall;,,Dennis G. Zill. Equações diferenciais com aplicações em modelagem. Thomson;,,;;Dennis G. Zill. Equações diferenciais. Volume 1;,,Dennis G. Zill. Equações diferenciais. Volume 2;,,
Introdução às Redes de Comunicação;;TE239;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Histórico das redes de computadores e da Internet. Modelos de Referência: estrutura emcamadas, conceitos de protocolos e serviços. Interconexão de redes de computadoresbridges, routers, gateways, concentradores hubs, switches. Redes Locais. Redes Públicas.Rede Internet: arquitetura TCP/IP. Redes de Alto Desempenho. Gerenciamento de Redes.;;<nada>;;<nada>
Controle e Servomecanismo;;TE240;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Análise de sistemas de controle contínuos e discretos em regime permanente. Realimentação.Estabilidade: Nyquist e Bode. Projeto de controladores contínuos e discretos.;;Norman S. Nise. Engenharia de sistemas de controle. 5a Ed., LTC;,,Katsuhiko Ogata. Engenharia de controle moderno. 5a Ed., Prentice Hall;,,;;Dennis G. Zill. Equações diferenciais. Volume 1;,,Dennis G. Zill. Equações diferenciais. Volume 2;,,
Técnicas de Modulação;;TE241;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Conceitos básicos de análise de sinais. Métodos de modulação analógicos e digitais. Sistemasde Modulação de Onda Contínua: Modulação de Amplitude. Sistemas AM-DSB, AM-DSB/SC,SSB e VSB; Modulação Angular. Sistemas PM e FM; Interferências e ruído em Sistemas deTelecomunicações Analógicos. Modulações Pulsadas: Representação Digital de SinaisAnalógicos; Sistemas PCM. Comunicação Digital e Sistemas com Modulação Digital:Transmissão Digital em Banda Base; Análise de Espaço de Sinais; Transmissão Digital emBanda Passante; Análise de Desempenho de Sistemas com Modulação Digital na Presençade Ruído. Multiplexação analógica e digital.;;<nada>;;<nada>
Ciência e Tecnologia dos Materiais Elétricos;;TE242;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Composição, estado, estrutura, classificação, propriedades, transformações e aplicações emEngenharia Elétrica de substâncias condutoras, isolantes, magnéticas, semicondutoras eópticas. Materiais condutores usados em Eletricidade. Noções de níveis quânticos de energia.Lacunas e elétrons em semicondutores. Física dos semicondutores. Estudo da junção PN,diodos, transistores bipolares, JFET e MOSFET. LED e laser semicondutor. Polímeros e suaaplicação em Engenharia Elétrica. Metais e ligas. Solda para eletrônica. Noções deEletroquímica, potencial de eletrodo e pilhas eletroquímicas. Eletrodeposição de metais.Noções sobre corrosão de materiais metálicos. Passividade dos metais. Proteção contracorrosão; tintas e noções de proteção catódica. Materiais nocivos ao ambiente e aplicação daDiretiva RoHS na indústria eletroeletrônica.;;<nada>;;<nada>
Eletricidade Aplicada II;;TE243;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Instalações elétricas domiciliares e comerciais. Dimensionamento condutores, proteções eeletrodutos. Proteção contra choques. Proteção contra Surtos. Sistema de aterramento.Eficiência na Iluminação: Comparação entre diversos tipos de Lâmpadas. Eletrônica dePotência aplicada à Eficiência na Iluminação. Instalações de motores. Comparação demotores convencionais com motores de alta eficiência. Noções de Correção de Fator dePotência. Noções de Eletrotermia. Noções de Refrigeração.;;<nada>;;<nada>
Sistemas Operacionais Embarcados;;TE244;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Componentes de um sistema. Administração dos recursos: memória principal e secundária.Administração dos processos: prioridades, interrupção, filas. Comunicação entre processos:semáforos e mensagens. Segurança.;;<nada>;;<nada>
Microeletrônica I;;TE246;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Conceituação sobre integração de circuito. Impacto do uso da tecnologia VLSI. Consideraçõeseconômicas e de tempo de obtenção do dispositivo. Dispositivos programáveis: PLD, PAL,FPGA. Metodologia de Projeto. Linguagens de descrição de hardware. Integração C++ comHDL. Programação completa de um dispositivo.;;<nada>;;<nada>
Construção Eletrônica;;TE247;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;00;;30;;00;;00;;00;;02 h;;Encapsulamento de componentes eletrônicos. Normas e padrões de dimensões físicas decomponentes eletrônicos. Componentes trough-hole e SMD. Projeto de placas de circuitoimpresso. Conceitos Fundamentais de Transferência de Calor: dimensões e unidades.Condução do Calor em Regime Estacionário. Condução do Calor em Regime Transitório.Convecção Forçada e Natural. Ventilação forçada. Trocadores de calor para dispositivoseletrônicos Dissipadores. Montagem prática de circuitos eletrônicos em circuito impresso.;;<nada>;;<nada>
Teoria da Informação e Codificação;;TE248;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Fundamentos da teoria da informação. Teoremas de Shannon. Capacidade de canal.Codificação de fonte. Introdução aos campos finitos. Códigos de bloco lineares. Códigoscíclicos; Códigos convolucionais. Protocolos ARQ. Introdução à criptografia e cifragem dedados.;;<nada>;;<nada>
Segurança em Instalações e Serviços em Eletricidade;;TE249;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Segurança em trabalhos com eletricidade. Riscos em instalações e serviços com eletricidade:o choque elétrico, mecanismos e efeitos; arcos elétricos; queimaduras e quedas; camposeletromagnéticos. Proteção contra choques. Técnicas de Análise de Risco. Medidas deControle do Risco Elétrico: desenergização; aterramento funcional TN / TT / IT; aterramentode proteção; aterramento temporário; equipotencialização; seccionamento automático daalimentação; dispositivos a corrente de fuga; extra baixa tensão; barreiras e invólucros;bloqueios e impedimentos; obstáculos e anteparos; isolamento das partes vivas; isolaçãodupla ou reforçada; colocação fora de alcance; separação elétrica. Normas TécnicasBrasileiras ? NBR. Regulamentações do MTE: NRs; NR-10 Segurança em Instalações eServiços com Eletricidade; qualificação; habilitação; capacitação e autorização. Equipamentosde proteção coletiva. Equipamentos de proteção individual. Rotinas de trabalho ?Procedimentos: instalações desenergizadas; liberação para serviços; sinalização; inspeçõesde áreas, serviços, ferramental e equipamentos. Documentação de instalações elétricas.Riscos adicionais: altura; ambientes confinados; áreas classificadas; umidade; condiçõesatmosféricas. Proteção e combate a incêndios: noções básicas; medidas preventivas; métodosde extinção; prática. Acidentes de origem elétrica: causas diretas e indiretas; discussão decasos. Primeiros socorros: noções sobre lesões; priorização do atendimento; aplicação derespiração artificial; massagem cardíaca; técnicas para remoção e transporte de acidentados;práticas. Responsabilidades.;;<nada>;;<nada>
Introdução a Projetos de Pesquisa Científica e Tecnológica;;TE250;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;A importância da pesquisa e de sua divulgação. Pesquisa e Método Científico. Elementos deestruturação de um projeto de pesquisa. Levantamento, análise e aproveitamento de dados. Aorganização e a redação de pesquisas e trabalhos científicos e tecnológicos. Apresentação depesquisas e trabalhos científicos e tecnológicos. Propriedade intelectual e industrial. Sistemasnacionais de registro de publicações ISBN e de registro de patentes INPI.;;<nada>;;<nada>
Microeletrônica II;;TE251;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Justificativa da opção por um ASIC. Tecnologias de fabricação. Escolha do fornecedor.Interface entre Projetista e "foundry". Ferramentas de software para projeto, simulação e"layout". Teste, protótipo e produção. Projeto de um circuito didático, passando por todas assuas fases até chegar ao "layout" final.;;<nada>;;<nada>
Robótica Aplicada;;TE252;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;00;;30;;00;;00;;00;;02 h;;itos de sistemas mecatrônicos. Componentes de sistemas mecatrônicos. Noções devisão por computador. Aplicações mecatrônicas industriais. Interfaceamento com sensores eatuadores. Projeto prático utilizando microprocessadores e microcontroladores paraacionamento de motores DC, motores de passo e outros tipos de atuadores.;;<nada>;;<nada>
Programação Orientada a Máquinas Virtuais;;TE253;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Classes, objetos e métodos. Herança. Interfaces. Tipos de dados e operadores. Complexidadee Escalabilidade. Estrutura e reuso de software. Mudança de Software. Abstrações paraprojeto. Encapsulamento de informação. Especificação versus Implementação. Modeloestático versus modelo dinâmico. Invariantes. Pacotes. Concorrência e seu controle.Paradigma Cliente-Servidor. Paradigma Par-a-Par.;;<nada>;;<nada>
Testabilidade e Segurança de Software Embarcado;;TE254;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Importância de testes, tipos de teste e de falhas. Modelos de falha. Técnicas de detecção defalhas em circuitos combinatórios e seqüenciais. Algoritmos geradores de teste. Síntese decircuitos digitais auto testáveis Síntese de elementos Scan. Arquiteturas auto testáveis.;;<nada>;;<nada>
Processamento Digital de Sinais;;TE255;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Sinais e Sistemas. Resposta em frequência. Transformada Z e suas propriedades.Transformada discreta de Fourier. Transformada rápida de Fourier. Projeto de filtros nãorecursivo. Projeto de filtros recursivo. Estrutura e equação de estado. Aplicações deprocessamento digital de sinais.;;<nada>;;<nada>
Confiabilidade em Sistemas Eletrônicos;;TE256;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Conceituação da qualidade. Ciclo do produto. Qualidade da concepção. Qualidade epsicologia. Probabilidade e teoria da estimação aplicada à qualidade. Controle estatístico deprocesso. Auditoria da qualidade. Qualificaçãode fornecedores e componentes. Qualidadeassegurada e o contraste com o enfoque controle. Qualidade do desenvovimento. Testes deproduto. Confiabilidade. Classe de componentes. Teste de vida. Processos de "screening".Testabilidade de componentes, de placas de circuito impresso, de equipamento. Espectro defalhas e estratégia de testes: testes in-circuits, testes funcionais, auto-teste. Qualidade desoftware. O problema da manutenção. Qualidade e organização. Qualidade total.;;<nada>;;<nada>
Interferência Eletromagnética;;TE257;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Fontes de interferência.eletromagnética. Mecanismos de interferência.eletromagnética.Bloqueio de interferência.eletromagnética. Normas Técnicas. Modelagem Computacional;;<nada>;;<nada>
Sistemas Eletrônicosde Tempo-Real;;TE258;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;Introdução aos sistemas de tempo real. Principais aplicações. Conceitos de programaçãoconcorrente: exclusão mútua; semáforos e monitores. Políticas de escalonamento. Sistemasoperacionais de tempo-real. Troca de mensagens. Programação de sistemas de tempo-real.Relação com outras restrições. Metodologias de projeto. Estado da arte em sistemas detempo-real.;;<nada>;;<nada>
Testabilidade de Circuitos Digitais;;TE259;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Importância de testes, tipos de teste e de falhas. Modelos de falha. Técnicas de detecção defalhas em circuitos combinatórios e seqüenciais. Algoritmos geradores de teste. Síntese decircuitos digitais auto testáveis Síntese de elementos Scan. Arquiteturas auto testáveis.;;<nada>;;<nada>
Otimização de Sistemas Digitais;;TE260;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Algoritmos de minimização de lógica exata e heurística. Técnicas de síntese lógica multinível emapeamento tecnológico. Otimização lógica seqüencial. Arquiteturas para sistemas digitais.Otimização e síntese a nível de arquitetura.;;<nada>;;<nada>
Gerência de Projetos;;TE261;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Importância da gerência de projetos. Aspectos multidisciplinares de projetos. Ética, relaçõesinterpessoais e confidencialidade de dados e informações. Formação de custos de produtos eserviços. Métodos de avaliações técnicas de alternativas. Métodos de avaliação econômicasde alternativas. Estudo de casos de necessidades de clientes corporativos. Desenvolvimentode soluções. Criação, acompanhamento e execução de cronogramas. Tarifação horária.Estudo de legislações técnicas.;;<nada>;;<nada>
Administração de Empresas e Organização da Produção;;TE262;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Princípios administrativos: planejamento, organização, direção e controle. Ética eresponsabilidade corporativa. Introdução à Engenharia de produção. Tempos e métodos.Produtividade e competitividade. Empreendedorismo e inovação: desenvolvimento de planosde novos negócios de base tecnológica.;;<nada>;;<nada>
Trabalho de Conclusão de Curso I;;TE263;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Atividades de complementação profissional, supervisionadas por docentes do curso,resultando em uma proposta de trabalho de fim de curso, com estudo de viabilidade técnica eeconômica.;;<nada>;;<nada>
Trabalho de Conclusão de Curso II;;TE264;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Atividades de complementação profissional, supervisionadas por docentes do curso,resultando em um trabalho de fim de curso.;;<nada>;;<nada>
Sistemas Eletrônicos de Imagens;;TE265;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Princípios de Televisão. Sistemas de televisão analógicos e digitais. CCD e câmeras digitais.HDTV. Modulações digitais para televisão. Técnicas de compressão de imagens. Recepção desinais de televisão. Geração dos sinais de vídeo e áudio em HDTV. Sinais de teste detelevisão. Aplicações.;;<nada>;;<nada>
Sistemas Eletrônicos de Áudio;;TE266;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Acústica fisiológica: audibilidade, curvas de Fletcher Munson, intelegibilidade. Transdutores.Amplificadores: ganho, resposta em freqüência, distorção. Gravação: discos, fitas, gravaçãodigital. Psico-acústica da música. Análise de sinais musicais. Síntese de sinais musicais.Protocolo MIDI. Algoritmos de compressão digital de som.;;<nada>;;<nada>
Engenharia Elétrica e Sociedade II;;TE267;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Estudo da relação entre a Engenharia, a Tecnologia e a Sociedade. Noções de Filosofia,Sociologia e Ética. Evolução técnica e histórica do homem. Fontes de Informações Sócio-Econômicas. Relações do homem com o trabalho. Dependência econômica e tecnológica.Tecnologias e engenharia aplicadas à acessibilidade. Tecnologias e engenharia para odesenvolvimento regional e local. Tecnologias e engenharia para o desenvolvimento deempresas. Habitats de Tecnologia. O setor de energia e a sociedade. O setor de comunicaçõese a sociedade. O engenheiro: funções técnica e social.;;DOLABELA, Fernando. O segredo de Luísa: uma idéia, uma paixão e um plano de negócios : comonasce o empreendedor e se cria uma empresa. Rio de Janeiro: Sextante, 2008.,,ROSSETTI, Jose Paschoal. Introdução a economia. 20. ed. São Paulo: Atlas, 2003.,,;;OLIVEIRA, Luiz Fernandes de; COSTA, Ricardo Cesar Rocha da. Sociologia para jovensdo século XXI. Rio de Janeiro: Imperial Novo Milênio, 2007.,,CASTELLS, Manuel. A sociedade em rede. 7. ed., rev. e ampl. São Paulo: Paz e Terra,2003.,,
Economia para Engenharia Elétrica;;TE268;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Teoria Econômica: história e evolução. Matemática Financeira. Técnicas de Análise deAlternativas de Investimento. Aplicações no plano da Engenharia Elétrica.;;<nada>;;<nada>
Ciências Ambientais para Engenharia Elétrica;;TE269;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Noções de Ecologia. Conseqüências ambientais decorrentes do desenvolvimento tecnológico.O homem e a natureza. Poluição do ar, da água e do solo. Níveis de radiações emitidas porestações de rádio. Diretiva RoHS e suas implicações na indústria eletrônica.;;<nada>;;<nada>
Gerência de Produtos e Serviços;;TE270;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Estudos dos componentes do produto e do serviço. Imagens do produto e do serviço. Serviçosdo produto, garantias, políticas do produto, família e linha de produto. Simplificação,diversificação, durabilidade, qualidade, rentabilidade, ciclo de vida.;;<nada>;;<nada>
